id;parent_id;Наименование;ИмяФайлаИзображения;Свойства;Документация;Новинка;Спецпредложение;Заголовок;Подзаголовок;КлючевыеСлова;Описание;ТекстОптимизации
111740;;Электротехника;;;;false;false;Купить элетротехнику в Минске по доступным ценам;;;Электротехника с доставкой по Минску и Беларуси в магазине bereg.by. Купить электротехнику по самым низким ценам на нашем сайте!;
114889;111740;Диэлектрическая продукция;;;122274,122275,122273,122365;false;false;Купить диэлектрическую продукцию в Минске, цены, гарантия;Диэлектрическая продукция;;"Диэлектрическую продукцию можно приобрести на сайте ЗАО ""Чистый берег"". Поставляем только качественные товары по доступной цене от лучших производителей.";"<p>Ознакомьтесь со всей представленной <a href=""https://www.bereg.by/cat/111740.html""  title=""Электротехника в Минске"">электротехникой</a> в нашем каталоге.</p>"
111778;111740;Светотехника;Lampa_cvetodiod_PLED_T8_GL_stekl_Electrotexnika.jpg;;;true;false;Купить светотехнику в Минске по доступной цене;Светотехника;;"Светотехнику можно приобрести на сайте ЗАО ""Чистый берег"". Поставляем только качественные товары по доступной цене от лучших производителей.";"<h2>Какой светильник вам лучше выбрать</h2><p>Существуют разные виды ламп освещения, каждая из которых имеет свои особенности. Рассмотрим самые распространенные.</p><h3>Люминесцентные</h3><p><img style=""float: right;"" src=""https://www.bereg.by/i/photo/catalog/Lampa_lyuminiscentnaya_L_G13_Electro.jpg"" alt=""светотехника"" width=""190"" height=""190"" /></p><p>Конструктивно это запаянные с двух сторон стеклянные трубки со слоем люминофора изнутри. Заполняются инертным газом. Также внутри имеется небольшое количество ртути. Принцип действия схож с тем, что используется в стандартных лампах накаливания, но светоотдача и КПД гораздо выше. В процессе работы люминесцентная разновидность разогревается не более чем до 50 С.</p><p>Востребованы варианты серии ЛПО, предназначенные для общего освещения магазинов, офисов, школ, подсобных помещений, функциональных жилых зон, витрин. Светоотдача увеличена на 20%, расход энергии снижен на 25%. Срок службы достигает около 15&nbsp;000 часов, причем в процессе работы светильник не издает звуков.</p><h3>Лампы МО</h3><p>МО означает &laquo;местного освещения&raquo;. Это лампа накаливания, предназначенная для освещения рабочих зон, техники и помещений, если не допускается использование напряжения 127В и 220В. Подключается к сети 12В, 24В, 35В. Пригодна к использованию в местах с повышенной влажностью.</p><h3>Лампы накаливания</h3><p><img style=""float: right;"" src=""https://www.bereg.by/i/photo/catalog/Lampa_nakal_DC_E14_Electro.jpg"" width=""190"" height=""190"" /></p><p>Самые дешевые разновидности. Имеют небольшие размеры, после включения мгновенно достигают максимальной яркости. Значительная часть электроэнергии уходит на разогрев. Использовать такие лампы рекомендуется в случае, когда главным фактором является дешевизна покупки.</p><h3>Светодиодные</h3><p>Современный вариант, пригодный к использованию на любых объектах. В нашей компании вы можете <strong>купить светодиодные светильники с датчиками</strong> &ndash; они автоматически включаются и выключаются в определенных условиях.</p><p>Светодиодные (LED) лампы обладают рядом преимуществ перед другими светильниками.</p><ul><li>Абсолютно безопасны с экологической точки зрения. В них не содержится паров ртути и других вредных для здоровья веществ. Это помогает сэкономить на утилизации.</li><li>Минимальный расход электричества. По сравнению с люминесцентными лампами, LED тратят меньше энергии при аналогичном световом потоке.</li><li>Максимальная яркость сразу после включения, вне зависимости от условий. Многим видам светильников нужно время, чтобы набрать яркость. У светодиодов такой проблемы нет. Более того, свечение интенсивное вне зависимости от температуры окружающего воздуха.</li><li>Минимальный нагрев. Почти вся энергия тратится на освещение, без повышения температуры изделия. Это не только обеспечивает высокий КПД, но и повышает безопасность эксплуатации.</li><li>Устойчивость к перепадам напряжения. В цоколе размещается стабилизатор, который преобразует переменное напряжение в постоянное. Это значит, что свет не будет мерцать при проблемах в сети.</li></ul><h2>Почему с нами выгодно сотрудничать</h2><p>Позвоните нам, чтобы <strong>купить уличные, офисные, промышленные светильники в Минске</strong>. В каталоге компании &laquo;Чистый берег&raquo; представлены разные варианты ламп, от стандартных, с вольфрамовой нитью, до современных LED.</p><p>Предоставляем оперативную доставку в любой город Республики Беларусь. Вся продукция сопровождается полным пакетом подтверждающих качество документов.</p><p>Ознакомьтесь со всей представленной <a href=""https://www.bereg.by/cat/111740.html""  title=""Электротехника в Минске"">электротехникой</a> в нашем каталоге.</p>"
115341;111778;Лампы ИКЗ;;;;false;false;;;;;
115346;111778;Фотореле;;;;false;false;;;;;
115349;111778;Светильники специального назначения;;;;false;false;;;;;
115303;111778;Лампы ДС;;;;false;false;;;;;
115310;111778;Лампы ДНаТ;;;;false;false;;;;;
115319;111778;Лампы ДРЛ;;;;false;false;;;;;
115325;111778;Датчик движения;;;;false;false;;;;;
